Exp no.,DOC (mm),CS (m/min),FR (mm/rev),Tool wear (µm),Surface Roughness (µm)
1,1,70,0.06,23,1.01
2,1.5,70,0.06,42,1.4
3,2,70,0.06,55,2.05
4,1,80,0.06,30,0.816
5,1.5,80,0.06,50,0.828
6,2,80,0.06,69,1.726
7,1,90,0.06,48,0.756
8,1.5,90,0.06,63,0.798
9,2,90,0.06,80,1.73
10,1,70,0.08,25,0.723
11,1.5,70,0.08,44,0.834
12,2,70,0.08,50,1.432
13,1,80,0.08,35,0.599
14,1.5,80,0.08,54,0.765
15,2,80,0.08,79,1.321
16,1,90,0.08,60,0.499
17,1.5,90,0.08,70,0.877
18,2,90,0.08,85,1.09
19,1,70,0.1,30,0.619
20,1.5,70,0.1,54,0.7
21,2,70,0.1,60,1.126
22,1,80,0.1,48,0.6
23,1.5,80,0.1,65,0.567
24,2,80,0.1,80,0.1
25,1,90,0.1,58,0.5
26,1.5,90,0.1,75,0.499
27,2,90,0.1,95,0.876
