Exp no.,DOC (mm),CS (m/min),FR (mm/rev),Tool wear (µm),Surface Roughness (µm)
1,1,70,0.06,35,1.499
2,1.5,70,0.06,78,1.78
3,2,70,0.06,114,2.5
4,1,80,0.06,46,1.41
5,1.5,80,0.06,97,1.49
6,2,80,0.06,140,2
7,1,90,0.06,60,0.972
8,1.5,90,0.06,130,0.99
9,2,90,0.06,161,1.79
10,1,70,0.08,43,1.46
11,1.5,70,0.08,108,1.49
12,2,70,0.08,125,1.8
13,1,80,0.08,52,1.28
14,1.5,80,0.08,126,1.3
15,2,80,0.08,162,1.6
16,1,90,0.08,66,0.9
17,1.5,90,0.08,130,0.99
18,2,90,0.08,165,1.36
19,1,70,0.1,44,1.35
20,1.5,70,0.1,110,1.4
21,2,70,0.1,132,1.8
22,1,80,0.1,55,1.02
23,1.5,80,0.1,132,1.24
24,2,80,0.1,160,1.4
25,1,90,0.1,66,0.76
26,1.5,90,0.1,140,0.999
27,2,90,0.1,199,1.3
